Walmart.com Order #,Walmart.com Order Line #,Walmart.com PO #,Walmart.com P.O. Line #,Partner Order #,Transaction Type,Transaction Date Time,Shipped Qty,Partner Item ID,Partner GTIN,Partner Item name,Product tax code,Shipping tax code,Gift wrap tax code,Ship to state,Ship to county,County Code,Ship to city,Zip code,shipping_method,Total tender to / from customer,Payable to Partner from Sale,Commission from Sale,Commission Rate,Gross Sales Revenue,Refunded Retail Sales,Sales refund for Escalation,Gross Shipping Revenue,Gross Shipping Refunded,Shipping refund for Escalation,Net Shipping Revenue,Gross Fee Revenue,Gross Fee Refunded,Fee refund for Escalation,Net Fee Revenue,Gift Wrap Quantity,Gross Gift-Wrap Revenue,Gross Gift-Wrap Refunded,Gift wrap refund for Escalation,Net Gift Wrap Revenue,Tax on Sales Revenue,Tax on Shipping Revenue,Tax on Gift-Wrap Revenue,Tax on Fee Revenue,Effective tax rate,Tax on Refunded Sales,Tax on Shipping Refund,Tax on Gift-Wrap Refund,Tax on Fee Refund,Tax on Sales refund for Escalation,Tax on Shipping Refund for Escalation,Tax on Gift-Wrap Refund for escalation,Tax on Fee Refund for escalation,Total NET Tax Collected,Tax Withheld,Adjustment Description,Adjustment Code,Original Item price,Original Commission Amount,Spec Category,Contract Category,Product Type,Flex Commission Rule,Return Reason Code,Return Reason Description,Fee Withheld Flag,Fulfillment Type,Fulfillment Details,Commission Incentive Program,Commission Saving,Customer Promo Type,Total Walmart Funded Savings,Total Walmart Funded Savings Program,Item Condition
200012251563996,1,108919360490796,1,,SALE,07/10/2024,1,WLM202310004WH,06976391063136,GetYes 2Pcs Patchwork Accent Chair with Ottoman Set Comfy Chair with High Wingback Colorful,2038710,,,CA,,,Sebastopol,95472,Marketplace expedited,141.04,110.49,19.50,15.00,129.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,11.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.05,Y,,,,-19.50,Furniture,Furniture & Decor,Armchairs & Accent Chairs,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,New
200012190266370,1,108919463775304,1,,SALE,07/11/2024,2,WLM202310004WH,06976391063136,GetYes 2Pcs Patchwork Accent Chair with Ottoman Set Comfy Chair with High Wingback Colorful,2038710,,,OH,,,Mason,45040,Marketplace standard,277.53,220.98,39.00,15.00,259.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,17.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,Y,,,,-39.00,Furniture,Furniture & Decor,Armchairs & Accent Chairs,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,New
200012169643421,1,108915219231930,1,,ADJMNT,06/30/2024,2,WLM202311008GR,06976391063495,GetYes Wooden Shoe Cabinet with 3 Flip Drawers Hidden Shoes Storage Hallways Entryway Floor Gray,2038710,,,FL,,,Port Saint Lucie,34953,Marketplace value,0.00,-31.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,Walmart Return Shipping Charge,5013,,,Furniture,Furniture & Decor,,,,,N,Seller Fulfilled,,,,,,,
200012160472400,1,108918534271584,1,,SALE,07/02/2024,1,WLM202312007WH,06976391064188,GetYes Modern 59 TV Stand with 23 Electric Fireplace&reg;White&reg;12 Flame Colors,2038710,,,NJ,,,North Arlington,07031,Marketplace expedited,213.24,169.99,30.00,15.00,199.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.25,Y,,,,-30.00,Furniture,Furniture & Decor,Television Stands,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012160472400,1,108918534271584,1,,REFUNDED,07/06/2024,1,WLM202312007WH,06976391064188,GetYes Modern 59 TV Stand with 23 Electric Fireplace&reg;White&reg;12 Flame Colors,2038710,,,,,,North Arlington,07031,,-106.63,-85.00,-15.00,0.00,0.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.63,Y,Walmart Customer Care Refund,5018,,,Furniture,Furniture & Decor,,,189,Late to Arrive,N,Seller Fulfilled,,,,,,,
200012160472400,1,108918534271584,1,,REFUNDED,07/07/2024,1,WLM202312007WH,06976391064188,GetYes Modern 59 TV Stand with 23 Electric Fireplace&reg;White&reg;12 Flame Colors,2038710,,,,,,North Arlington,07031,,-106.61,-84.99,-15.00,0.00,0.00,-99.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.62,Y,Return Refund,5010,,,Furniture,Furniture & Decor,,,1023,Lost After Delivery,N,Seller Fulfilled,,,,,,,
200012136437258,1,108918843735265,1,,SALE,07/05/2024,1,WLM202404008BK,06976391066663,GetYes Outdoor Metal Grill Cart Table with Wheels Patio Black,2038710,,,VA,,,Roanoke,24017,Marketplace standard,105.29,84.99,15.00,15.00,99.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,Y,,,,-15.00,Garden & Patio,Home & Garden,Grill Stands & Carts,BSE-66-7.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012128665386,2,108918534586536,2,,SALE,07/02/2024,1,WLM202310010WH,06976391063198,GetYes 6-Drawer Modern Wood Dresser with Gold Handle Living room White Adults,2038710,,,OH,,,Cleveland Heights,44106,Marketplace standard,205.18,161.49,28.50,15.00,189.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,15.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.19,Y,,,,-28.50,Furniture,Furniture & Decor,Dressers,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012106881600,1,108918946271709,1,,SALE,07/07/2024,1,WLM202404008BK,06976391066663,GetYes Outdoor Metal Grill Cart Table with Wheels Patio Black,2038710,,,WI,,,Portage,53901,Marketplace value,105.49,84.99,15.00,15.00,99.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,Y,,,,-15.00,Garden & Patio,Home & Garden,Grill Stands & Carts,BSE-66-7.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012100538208,2,108919357212852,2,,SALE,07/10/2024,1,WLM202312007WH,06976391064188,GetYes Modern 59 TV Stand with 23 Electric Fireplace&reg;White&reg;12 Flame Colors,2038710,,,MD,,,Damascus,20872,Marketplace standard,211.99,169.99,30.00,15.00,199.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,Y,,,,-30.00,Furniture,Furniture & Decor,Television Stands,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
