Walmart.com Order #,Walmart.com Order Line #,Walmart.com PO #,Walmart.com P.O. Line #,Partner Order #,Transaction Type,Transaction Date Time,Shipped Qty,Partner Item ID,Partner GTIN,Partner Item name,Product tax code,Shipping tax code,Gift wrap tax code,Ship to state,Ship to county,County Code,Ship to city,Zip code,shipping_method,Total tender to / from customer,Payable to Partner from Sale,Commission from Sale,Commission Rate,Gross Sales Revenue,Refunded Retail Sales,Sales refund for Escalation,Gross Shipping Revenue,Gross Shipping Refunded,Shipping refund for Escalation,Net Shipping Revenue,Gross Fee Revenue,Gross Fee Refunded,Fee refund for Escalation,Net Fee Revenue,Gift Wrap Quantity,Gross Gift-Wrap Revenue,Gross Gift-Wrap Refunded,Gift wrap refund for Escalation,Net Gift Wrap Revenue,Tax on Sales Revenue,Tax on Shipping Revenue,Tax on Gift-Wrap Revenue,Tax on Fee Revenue,Effective tax rate,Tax on Refunded Sales,Tax on Shipping Refund,Tax on Gift-Wrap Refund,Tax on Fee Refund,Tax on Sales refund for Escalation,Tax on Shipping Refund for Escalation,Tax on Gift-Wrap Refund for escalation,Tax on Fee Refund for escalation,Total NET Tax Collected,Tax Withheld,Adjustment Description,Adjustment Code,Original Item price,Original Commission Amount,Spec Category,Contract Category,Product Type,Flex Commission Rule,Return Reason Code,Return Reason Description,Fee Withheld Flag,Fulfillment Type,Fulfillment Details,Commission Incentive Program,Commission Saving,Customer Promo Type,Total Walmart Funded Savings,Total Walmart Funded Savings Program,Item Condition
200012372614821,1,108917385395034,1,,REFUNDED,07/11/2024,1,NFN017NL,06973813988381,Tolead 2Pcs Rattan Nightstand Set Boho Side Table with Handmade Rattan Decorated Drawer Natural,2038710,,,,,,Medford,02155,,-127.49,-101.99,-18.00,0.00,0.00,-119.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.50,Y,Return Refund,5010,,,Furniture,Furniture & Decor,,,1041,Difficult to setup/not compatible,N,Seller Fulfilled,,,,,,,
200012349732465,1,108918430699211,1,,SALE,07/01/2024,1,NFN002NL,06973813984277,Tolead Rattan Nightstand Boho Side Table with Handmade Rattan Decorated Drawer Bedroom Living Room Natural,2038710,,,OR,,,Portland,97203,Marketplace standard,61.99,52.69,9.30,15.00,61.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N,,,,-9.30,Furniture,Furniture & Decor,Nightstands,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012349451112,1,108918637312231,1,,SALE,07/03/2024,1,NFN056NL-WL,06976391060005,Tolead Wood Sideboard Buffet Cabinet with Storage Rattan Doors Rustic Modern Kitchen Shelf,2038710,,,IL,,,Chicago,60613,Marketplace value,99.21,76.49,13.50,15.00,89.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.22,Y,,,,-13.50,Furniture,Furniture & Decor,Credenzas & Sideboards,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,New
200012315232402,16,108918636342763,1,,SALE,07/03/2024,1,JGWLMC007GD,06976391061422,Tolead 3-in-1 Convertible Baby High Chair with 2-Level Height Adjustable Legs 3-Level Adjustable Tray for Babies and Toddlers Baby Highchair with 5-Point Safety Belt & Footrest Dark Gray,2038710,,,TN,,,Nashville,37206,Marketplace value,68.81,53.53,9.45,15.00,62.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,5.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.83,Y,,,,-9.45,Baby Furniture,Baby,Baby Feeding Chairs,BSE-48-11.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012314794401,3,108918841816840,1,,SALE,07/04/2024,1,NFN002NL,06973813984277,Tolead Rattan Nightstand Boho Side Table with Handmade Rattan Decorated Drawer Bedroom Living Room Natural,2038710,,,FL,,,Trenton,32693,Marketplace value,66.33,52.69,9.30,15.00,61.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34,Y,,,,-9.30,Furniture,Furniture & Decor,Nightstands,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012289706499,1,108919464183667,1,,SALE,07/11/2024,1,PTB002WH,06973813984260,Tolead Wooden Hidden Cat Litter Box Enclosure with Drawer and Shelf White,2038710,,,MI,,,Northville,48167,Marketplace value,79.49,67.99,12.00,15.00,74.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,Y,,,79.99,-12.00,Furniture,Pet Supplies,Cat Litter Boxes,BSE-53-12.0,,,N,Seller Fulfilled,Delivery,,0.00,,-5.00,WM_DISC,
200012259082444,1,108918637904970,1,,SALE,07/03/2024,1,PTB003SL,06973813984246,Tolead Large Metal Chicken Coop Upgrade Tri-Supporting Wire Mesh Chicken RunChicken Pen with Water-Resident and Anti-UV CoverDuck Rabbit House Outdoor,2038710,,,UT,,,Roy,84067,Marketplace value,213.42,169.99,30.00,15.00,198.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,14.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.43,Y,,,199.99,-30.00,Animal Other,Pet Supplies,Chicken Coops,BSE-53-12.0,,,N,Seller Fulfilled,Delivery,,0.00,,-1.00,WM_DISC,New
200012258309532,2,108918740178134,1,,SALE,07/04/2024,1,BPK002SL,06976391064126,Tolead Raised Toilet Seat with Handles Adjustable Bedside Commode Width w/Side Pocket,2038710,,,CO,,,Grand Junction,81503,Marketplace value,73.68,63.69,6.30,9.00,69.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.69,Y,,,,-10.50,Medicine & Supplements,Home & Garden,Toilet Seats,SCE-19940_19850,,,N,Seller Fulfilled,Delivery,Others,4.20,,,,
200012258107154,1,108918534845173,1,,SALE,07/02/2024,1,NFN022NL,06973813986493,Tolead Rattan Mid-Century Modern Nightstand Set with Handmade Rattan Decorated Drawer and Door Bedroom Living Room Natural,2038710,,,TN,,,MT Juliet,37122,Marketplace value,70.23,54.39,9.60,15.00,63.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.24,Y,,,,-9.60,Furniture,Furniture & Decor,Nightstands,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,New
200012256007062,1,108919047975942,1,,SALE,07/07/2024,1,NFP014BG,06973813986578,Tolead 5Pcs Bed Wedge Pillow Set Sit up Pillow Recovery Health Acid Reflux Comfort Memory Foam Beige,2039972,,,WI,,,La Crosse,54603,Marketplace value,85.44,68.84,12.15,15.00,80.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,4.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.45,Y,,,,-12.15,Bedding,Home & Garden,Wedge Pillows,BSE-67-9.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
